38mm Apple Watch,38_watch,272,340,326
42mm Apple Watch,42_watch,312,390,326
2.5â€‘inch iPod Nano,ipod_nano,240,432,202
4-inch iPod Touch,ipod_touch,1136,640,326
4-inch iPhone SE,iphone_se,1136,640,326
4.7-inch iPhone 6 & 6S,iphone6,750,1334,326
5.5-inch iPhone 6 Plus & 6S Plus,iphone6_plus,1080,1920,401
7.9-inch iPad Mini 2,ipad_mini2,1536,2048,326
7.9-inch iPad Mini 3,ipad_mini3,1536,2048,326
7.9-inch iPad Mini 4,ipad_mini4,1536,2048,326
7.9-inch iPad Mini 5,ipad_mini5,1536,2048,326
9.7-inch iPad Air 2,ipad_air2,1536,2048,264
9.7-inch iPad Pro,ipad_pro97,1536,2048,264
12.9-inch iPad Pro,ipad_pro129,2048,3732,264
12-inch MacBook with Retina display,macbook_retina,2304,1440,226
13.3-inch MacBook Air,macbook_air133,2560,1600,227
13.3-inch MacBook Pro,macbook_pro133,2560,1600, 227
13.3-inch MacBook Pro with Retina display,macbook_pro_retina133,2560,1600, 227
15.4-inch MacBook Pro with Retina display,macbook_pro_retina154,2880,1800,220
21.5-inch iMac,imac,4096,2304,102
21.5-inch iMac with Retina 4K display,imac_retina_4k,4096,2304,219
27-inch iMac with Retina 5K display,imac_retina_5k,5120,2880,218
27-inch Apple Thunderbolt display,thunderbolt,2560,1440,108